,year,value,population,incidencia
0,1995,505717.0,5703289735,8.86711044849276
1,1996,628318.0,5781863871,10.867049346343906
2,1997,724163.0,5858936095,12.35997437517707
3,1998,830998.0,5934972576,14.001715919638986
4,1999,986176.0,6010587100,16.407315684685777
5,2000,1148463.0,6086267209,18.869743318231627
6,2001,1227501.0,6162187587,19.91989017974048
7,2002,1512296.0,6239282896,24.238298298183143
8,2003,1849403.0,6315958969,29.281428348050436
9,2004,2172788.0,6393225245,33.985788342109316
10,2005,2351620.0,6471174754,36.339924192997614
11,2006,2983657.0,6549876653,45.55287310079975
12,2007,3822603.0,6629328545,57.66199357977362
13,2008,3519984.0,6709439312,52.46316176829293
14,2009,3819894.0,6790058168,56.25716165440661
15,2010,3972675.0,6870886787,57.81895588086918
16,2011,3962734.0,6952175552,56.99991276629949
17,2012,3947928.0,7033689262,56.12883727077564
18,2013,3205329.0,7115153640,45.049329391571646
